,Date,User,Type,Bank,Branch,Account,Amount,Category
0,2025-03-17,Varunspatil,Credit,SBI,Belgaum,3688,100.0,Other
1,2025-03-17,Varunspatil,Debit,SBI,Belgaum,3688,100.0,ATM Withdrawal
2,2025-03-17,Annapurna,Credit,SBI,Belgaum,5590,100.0,Salary
3,2025-03-17,Annapurna,Debit,SBI,Belgaum,5590,100.0,Other
4,2025-02-20,Varunspatil,Credit,SBI,Belgaum,3688,4090.23,Rent DVG
5,2024-06-17,Varunspatil,Credit,SBI,Belgaum,3688,1111.9,Rent BLG
6,2024-06-12,Varunspatil,Credit,SBI,Belgaum,3688,1315.2,Freelance
7,2024-05-17,Varunspatil,Credit,SBI,Belgaum,3688,2368.71,Investment
8,2024-08-28,Varunspatil,Debit,SBI,Belgaum,3688,632.76,Clothes
9,2024-10-26,Varunspatil,Debit,SBI,Belgaum,3688,3423.88,TV Recharge
10,2024-04-05,Varunspatil,Credit,SBI,Belgaum,3688,2192.68,Salary
11,2024-11-29,Varunspatil,Debit,SBI,Belgaum,3688,816.83,ATM Withdrawal
12,2024-12-15,Varunspatil,Credit,SBI,Belgaum,3688,308.74,Rent DVG
13,2025-01-15,Varunspatil,Debit,SBI,Belgaum,3688,3858.82,ATM Withdrawal
14,2024-11-03,Varunspatil,Debit,SBI,Belgaum,3688,3754.33,Travel
15,2024-08-24,Varunspatil,Debit,SBI,Belgaum,3688,3753.25,LIC
16,2024-08-28,Varunspatil,Debit,SBI,Belgaum,3688,2225.33,ATM Withdrawal
17,2024-07-09,Varunspatil,Debit,SBI,Belgaum,3688,4808.9,Travel
18,2024-12-10,Varunspatil,Credit,SBI,Belgaum,3688,3433.21,Investment
19,2024-06-24,Varunspatil,Debit,SBI,Belgaum,3688,1219.79,ATM Withdrawal
20,2024-05-18,Varunspatil,Debit,SBI,Belgaum,3688,2343.09,LIC
21,2024-04-28,Varunspatil,Debit,SBI,Belgaum,3688,2415.41,Other
22,2024-04-30,Varunspatil,Debit,SBI,Belgaum,3688,670.19,Travel
23,2024-11-10,Varunspatil,Debit,SBI,Belgaum,3688,330.21,Cylinder Booking
24,2024-04-15,Varunspatil,Debit,SBI,Belgaum,3688,1803.41,LIC
25,2024-09-06,Varunspatil,Credit,SBI,Belgaum,3688,805.21,Pension
26,2024-04-08,Varunspatil,Credit,SBI,Belgaum,3688,4780.65,Pension
27,2024-12-30,Varunspatil,Credit,SBI,Belgaum,3688,3128.86,Rent BLG
28,2024-12-20,Varunspatil,Credit,SBI,Belgaum,3688,665.85,Salary
29,2025-02-17,Varunspatil,Credit,SBI,Belgaum,3688,2084.96,Investment
30,2025-01-30,Varunspatil,Debit,SBI,Belgaum,3688,555.76,Clothes
31,2024-10-19,Varunspatil,Debit,SBI,Belgaum,3688,4033.19,Clothes
32,2025-02-13,Varunspatil,Debit,SBI,Belgaum,3688,459.67,Other
33,2024-10-08,Varunspatil,Credit,SBI,Belgaum,3688,1019.69,Freelance
34,2024-04-16,Varunspatil,Debit,SBI,Belgaum,3688,1650.99,LIC
35,2025-01-20,Varunspatil,Credit,SBI,Belgaum,3688,1230.18,Rent DVG
36,2024-09-26,Varunspatil,Credit,SBI,Belgaum,3688,4482.54,Investment
37,2024-04-13,Varunspatil,Debit,SBI,Belgaum,3688,2920.78,ATM Withdrawal
38,2024-10-12,Varunspatil,Credit,SBI,Belgaum,3688,3639.9,Rent DVG
39,2025-03-10,Varunspatil,Credit,SBI,Belgaum,3688,1834.34,Salary
40,2025-01-07,Varunspatil,Credit,SBI,Belgaum,3688,1901.79,Rent BLG
